|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
10|2003|Age of Wanderer|0|0|0|0|0|Joymax|OSC||Windows|9|Beat 'em up|Single-player, multiplayer|
11|2003|Age of Wonders: Shadow Magic|0|0|0|0|0|Triumph Studios|Gathering of Developers||Microsoft Windows|39|Turn-based strategy|Single-player, multiplayer|
12|2003|AGON|0|0|0|0|0|Private Moon Studios|||Windows 2K/XP/Vista/Win7macOS|2003/2004 (episodes 1-3); 2007 (episode 4)|Adventure|Single-player|
13|2003|Airborne Assault: Highway to the Reich|0|0|0|0|0|Panther Games|Matrix Games||Windows|WW: 2003|FPS||
14|2003|Airport Tycoon|0|0|0|0|0|Krisalis Software|TalonSoft  Global Star Software||Windows|24|Business simulation game|Single-player|
15|2003|Alien Shooter|0|0|0|0|0|Sigma Team|Sigma Team||Microsoft Windows, Android, iOS, PlayStation Vita|51|Top-down shooter||
16|2003|Aliens Versus Predator: Extinction|0|0|0|0|0|Zono|Electronic Arts||PlayStation 2, Xbox|39|Real-time strategy|Single-player, multiplayer|Alien vs. Predator
17|2003|All Star Racing 2|0|0|0|0|0||Mud Duck Productions||PlayStation|24|Racing|Single-player, Multiplayer|
18|2003|Alter Echo|0|0|0|0|0|Outrage Games|THQ||PlayStation 2, Xbox|44|Action-adventure|Single-player|
19|2003|America's 10 Most Wanted|0|0|0|0|0|Black Ops Entertainment|EU: Play It!NA: Encore Software||PlayStation 2, Microsoft Windows|44|First-person shooter|Single-player, multiplayer|
