|Year|Games|Num_Awards|Num_Nominated|Won_Game_of_the_Year
117|2003|Corvette (video game)|0|0|0
118|2003|Crash Bandicoot 2: N-Tranced|0|0|0
119|2003|Crash Nitro Kart|0|0|0
120|2003|Crazy Taxi: Catch a Ride|0|0|0
121|2003|Crimson Skies: High Road to Revenge|0|0|0
122|2003|Crimsonland|0|0|0
123|2003|Cross Channel (visual novel)|0|0|0
124|2003|Crouching Tiger, Hidden Dragon (video game)|0|0|0
125|2003|CSI: Crime Scene Investigation (video game)|0|0|0
126|2003|CT Special Forces 2: Back in the Trenches|0|0|0
127|2003|CTU: Marine Sharpshooter|0|0|0
128|2003|Curse: The Eye of Isis|0|0|0
129|2003|Cyber Troopers Virtual-On Marz|0|0|0
130|2003|Cyberchase: Carnival Chaos|0|0|0
131|2003|Cyberchase: Castleblanca Quest|0|0|0
132|2003|Dakar 2: The World's Ultimate Rally|0|0|0
133|2003|Dancing Stage MegaMix|0|0|0
134|2003|Daredevil (video game)|0|0|0
135|2003|Day of Defeat|0|0|0
136|2003|Dead or Alive Xtreme Beach Volleyball|1|1|0
137|2003|Dear Boys|0|0|0
138|2003|December When There Is No Angel|0|0|0
139|2003|Decisive Battles of WWII: Korsun Pocket|0|0|0
140|2003|Def Jam Vendetta|1|2|0
141|2003|Defense of the Ancients|0|0|0
142|2003|Delta Force: Black Hawk Down|0|0|0
143|2003|Demonbane|0|0|0
144|2003|Densetsu no Stafy 2|0|0|0
145|2003|Deus Ex: Invisible War|0|0|0
146|2003|Devastation (video game)|0|0|0
147|2003|Devil May Cry 2|0|0|0
148|2003|Dino Crisis 3|0|0|0
149|2003|Dinotopia: The Sunstone Odyssey|0|0|0
150|2003|Disgaea: Hour of Darkness|0|0|0
151|2003|Disney Princess: Magical Dress-Up|0|0|0
152|2003|Disney's Brother Bear (video game)|0|0|0
153|2003|Disney's Extreme Skate Adventure|0|0|0
154|2003|Disney's Hide and Sneak|0|0|0
155|2003|Dog's Life|0|0|0
156|2003|Dokapon DX: Wataru Sekai wa Oni Darake|0|0|0
157|2003|Domácí násilí: Game over|0|0|0
158|2003|Dominions II: The Ascension Wars|0|0|0
159|2003|Donkey Konga|0|1|0
160|2003|Double Dragon Advance|0|0|0
161|2003|Downhill Domination|0|0|0
162|2003|Downtown Run|0|0|0
163|2003|Dr. Seuss: Green Eggs and Ham (video game)|0|0|0
164|2003|Drag Racer (video game)|0|0|0
165|2003|Dragon Ball Z: Taiketsu|0|0|0
166|2003|Dragon Drive: D-Masters Shot|0|0|0
167|2003|Dragon Quest Monsters: Caravan Heart|0|0|0
168|2003|Drake of the 99 Dragons|0|0|0
169|2003|Drakengard (video game)|0|0|0
170|2003|DreamMix TV World Fighters|0|0|0
171|2003|Duel Masters (video game)|0|0|0
172|2003|Dungeon Scroll|0|0|0
173|2003|Dungeons & Dragons: Heroes|0|0|0
174|2003|Dynasty Tactics 2|0|0|0
175|2003|Dynasty Warriors 4|0|0|0
176|2003|The Elder Scrolls III: Bloodmoon|0|0|0
177|2003|The Elder Scrolls Travels|0|0|0
178|2003|Emergency Fire Response|0|0|0
179|2003|Empire (1972 video game)|0|0|0
180|2003|Empires: Dawn of the Modern World|0|0|0
181|2003|Endless Ages|0|0|0
182|2003|Energy Airforce Aim Strike!|0|0|0
183|2003|Enigma: Rising Tide|0|0|0
184|2003|Enigmo|0|0|0
185|2003|Enter the Matrix|1|1|0
186|2003|Entropia Universe|0|0|0
187|2003|ESPN College Hoops|0|0|0
188|2003|ESPN NBA Basketball (video game)|0|0|0
189|2003|ESPN NFL Football|0|1|0
190|2003|ESPN NHL Hockey|0|1|0
191|2003|Eternal Lands|0|0|0
192|2003|Eve Online|0|0|0
193|2003|EverQuest Online Adventures|0|2|0
194|2003|Everybody's Golf 4|0|0|0
195|2003|Evil Dead: A Fistful of Boomstick|0|0|0
196|2003|Ex Zeus|0|0|0
197|2003|EyeToy: Groove|0|0|0
198|2003|EyeToy: Play|0|0|0
199|2003|F-Zero GX|0|1|0
200|2003|F-Zero: GP Legend (video game)|0|0|0
201|2003|F1 Career Challenge|0|1|0
202|2003|The Fairly OddParents: Breakin' da Rules|0|0|0
203|2003|Fatal Frame II: Crimson Butterfly|0|0|0
204|2003|Federation II|0|0|0
205|2003|FIFA Football 2004|0|0|0
206|2003|Final Fantasy X-2|0|0|0
207|2003|Final Fantasy Crystal Chronicles|0|0|0
208|2003|Final Fantasy Tactics Advance|0|1|0
209|2003|Finding Nemo (video game)|0|0|0
210|2003|Fire Emblem (video game)|0|0|0
211|2003|Flamin' Finger|0|0|0
212|2003|Flatspace|0|0|0
213|2003|Football Madness|0|0|0
214|2003|Ford Racing 2|0|0|0
215|2003|Formula One 2003 (video game)|0|0|0
216|2003|Freaky Flyers|0|0|0
217|2003|FreeCol|0|0|0
218|2003|Freedom Fighters (video game)|0|0|0
219|2003|Freelancer (video game)|0|0|0
220|2003|Freestyle MetalX|0|0|0
221|2003|Freewar|0|0|0
222|2003|Frogger (Xbox Live Arcade)|0|0|0
223|2003|Frogger's Adventures: The Rescue|0|0|0
224|2003|Front Mission 4|0|0|0
225|2003|Full Pipe|0|0|0
226|2003|Fullmetal Alchemist and the Broken Angel|0|0|0
227|2003|Futurama (video game)|0|0|0
228|2003|Gakuen Heaven|0|0|0
229|2003|Galactic Civilizations|0|0|0
230|2003|Gekitō Pro Yakyū|0|0|0
231|2003|Gekkeiju Online|0|0|0
232|2003|Gem Smashers|0|0|0
233|2003|Geneforge 2|0|0|0
234|2003|Geograficus|0|0|0
235|2003|Geometry Wars|0|0|0
236|2003|Ghost Master|0|0|0
237|2003|Ghosthunter (video game)|0|0|0
238|2003|Giftpia|0|0|0
239|2003|Gladiator: Sword of Vengeance|0|0|0
240|2003|The Gladiators: Galactic Circus Games|0|0|0
241|2003|Gladius (video game)|0|0|0
242|2003|Glass Rose|0|0|0
243|2003|Go! Go! Hypergrind|0|0|0
244|2003|Goblin Commander: Unleash the Horde|0|0|0
245|2003|Gods and Generals (video game)|0|0|0
246|2003|Gotcha Force|0|0|0
247|2003|Gothic II: Night of the Raven|0|0|0
248|2003|Grabbed by the Ghoulies|0|0|0
249|2003|Grand Chase|0|0|0
250|2003|The Great Escape (2003 video game)|0|0|0
251|2003|Gregory Horror Show (video game)|0|0|0
252|2003|Grooverider: Slot Car Thunder|0|0|0
253|2003|Group S Challenge|0|0|0
254|2003|Growlanser Generations|0|0|0
255|2003|Growlanser: Wayfarer of Time|0|0|0
256|2003|GT Advance 3: Pro Concept Racing|0|0|0
257|2003|GT Cube|0|0|0
258|2003|Guilty Gear Isuka|0|0|0
259|2003|Guilty Gear X2 updated versions|0|0|0
260|2003|Gunfighter II: Revenge of Jesse James|0|0|0
261|2003|GunZ: The Duel|0|0|0
262|2003|Hamtaro: Rainbow Rescue|0|0|0
263|2003|Harbinger (video game)|0|0|0
264|2003|Hard Rock Casino (video game)|0|0|0
265|2003|Hardware: Online Arena|0|0|0
266|2003|Harry Potter: Quidditch World Cup|0|1|0
267|2003|Harvest Moon: A Wonderful Life|0|0|0
268|2003|Harvest Moon: Friends of Mineral Town|0|0|0
269|2003|The Haunted Mansion (video game)|0|0|0
270|2003|Heat Project|0|0|0
