|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
6357|2010|Monday Night Combat|0|1|0|Best Downloadable Game|0|Uber Entertainment[1]|Microsoft Game Studios (Xbox 360)Uber Entertainment (PC)[2]|Unreal Engine 3||January|Third-person shooter, Multiplayer online battle arena|Single-player, multiplayer[1]|
6384|2010|NBA 2K11|1|1|Best Team Sports Game|Best Team Sports Game|0|Artech Studios|505 Games|||June|Action|Single-player, multiplayer|
6422|2010|Tiger Woods PGA Tour 11|1|1|Best Individual Sports Game|Best Individual Sports Game|0|Avatar Creations Ltd|Avatar Creations |homegrown[1]||November|Vehicular combat MMORPG|Multiplayer|
6474|2010|Red Dead Redemption|10|7|['Game of the Year', 'Best Song in a Game', 'Best Original Score', 'Best DLC', 'Best Original Game', 'Best Zombie Game', 'Best Audio Design', 'Best Narrative', 'Best Performance', 'Best Score/Music']|['Game of the Year', 'Best PS3 Game', 'Best Action Adventure Game', 'Best Original Score', 'Best Graphics', 'Best Original Game', 'Best Game of the Decade']|1|Idea FactoryRed EntertainmentLaughing Jackal (PC)|JP: Compile HeartNA: Aksys GamesEU: Ghostlight|||February|Tactical role-playing|Single-player|
6492|2010|Rock Band 3|1|2|Best Music Game|['Best Music Game', 'Best Soundtrack']|0|Dreambox Games|Dreambox Games|||November|Platform-adventure|Single-player|
6509|2010|Scott Pilgrim vs. the World: The Game|1|2|Best Adapted Video Game|['Best Adapted Video Game', 'Best Downloadable Game']|0|Torus Games|Warner Bros. Interactive Entertainment|||September|Action|Single-player, multiplayer|
6523|2010|Shaun White Skateboarding|0|1|0|Best Individual Sports Game|0|WayForward Technologies|WayForward Technologies|||February|Platform, Metroidvania[4]|Single-player|Shantae
6563|2010|Spider-Man: Shattered Dimensions|1|1|Best Performance by a Human Male|Best Adapted Video Game|0||||||||
6567|2010|Split/Second|0|1|0|Best Driving Game|0|Ubisoft Montreal|Ubisoft|Unreal Engine 2.5[1][1][2]||February|Action-adventure, stealth|Single-player, multiplayer|Tom Clancy's Splinter Cell
6572|2010|Star Wars: The Force Unleashed II|0|1|0|Best Adapted Video Game|0|Cryptic Studios|Atari (2010–2011)  Perfect World Entertainment (2011- )|||February|Massively multiplayer online role-playing, third-person shooter, space flight simulator|Multiplayer|Star Trek
6573|2010|StarCraft II: Wings of Liberty|2|3|['Best PC Game', 'Best Performance by a Human Female']|['Most Anticipated Game of 2010', 'Best PC Game', 'Best Multiplayer']|0|LucasArts (PS3, Xbox 360, Windows)Aspyr Media[1] (PC)Red Fly Studio (Wii)|LucasArts|Ronin (PS3, Xbox 360, PC)Infernal (Wii)||October|Action-adventure|Single-player, multiplayer (Wii version only)|
6585|2010|Super Mario Galaxy 2|1|2|Best Wii Game|['Best Wii Game', 'Best Action Adventure Game']|0||Exploding Rabbit|||April|Platforming|Single-player |
6586|2010|Super Meat Boy|0|1|0|Best Independent Game|0|Nintendo EAD Tokyo|Nintendo|||January|Platforming|Single-player, multiplayer|Super Mario
6590|2010|Super Scribblenauts|0|1|0|Best Handheld Game|0|Monolith SoftBanpresto|JP: Namco Bandai Games|||February|Role-playing|Single-player|Super Robot Wars
6625|2010|Transformers: War for Cybertron|0|1|0|Best Adapted Video Game|0|Next Level Games|Activision|||June|Third-person shooter|Single-player, Multi-player, Cooperative multiplayer|
6640|2010|UFC Undisputed 2010|0|1|0|Best Individual Sports Game|0|Pipeworks Software|THQ|||February|Art|Coloring Pages, Painting|
6756|2011|Assassin's Creed: Revelations|1|1|GameTrailers.com Trailer of the Year|Best Action Adventure Game|0|"
Ubisoft Montreal
Ubisoft Annecy
Ubisoft Sofia
Ubisoft Milan
Ubisoft Quebec
Ubisoft Toronto
Gameloft
Griptonite Games
Blue Byte
"|Ubisoft||||"
Action-adventure
Stealth
"||
6768|2011|Batman: Arkham City|4|8|['Best Xbox 360 Game', 'Best Action Adventure Game', 'Best Adapted Video Game', 'Character of the Year']|['Most Anticipated Game', 'Game of the Year', 'Best Xbox 360 Game', 'Best Action Adventure Game', 'Best Adapted Video Game', 'Best Original Score', 'Best Graphics', 'Best Game of the Decade']|0|Supergiant Games|Warner Bros. Interactive EntertainmentSupergiant Games[a]|Microsoft XNA||April|Action role-playing|Single-player|
6772|2011|Battlefield 3|0|3|0|['Best PC Game', 'Best Shooter', 'Best Multiplayer']|0||TopWare InteractiveSouthPeak Games (US)|Dagor Engine 3.0||May|Board game|Single player, two player|
6812|2011|Call of Duty: Modern Warfare 3|1|2|Best Shooter|['Best Shooter', 'Best Multiplayer']|0|Ideaworks Game Studio|Activision|||December|First-person shooter|Single-player, multiplayer|Call of Duty
6818|2011|Captain America: Super Soldier|0|1|0|Best Adapted Video Game|0|Alientrap|Alientrap, indiePub (iOS)|||April|Platformer, run and gun, Metroidvania[1]|Single-player, multiplayer|
6834|2011|Child of Eden|0|1|0|Best Motion Game|0|Media.Vision|Square Enix|||May|Role-playing|Single-player|Chaos Rings
6856|2011|Dance Central 2|0|1|0|Best Motion Game|0|Kylotonn|EU: dtpNA: AtlusJP: Ubisoft|||February|Action-adventure|Single-player, multiplayer|
6861|2011|Dark Souls|0|1|0|Best RPG|0||Deep Silver|||June|Graphic adventure|Single-player|The Dark Eye
6877|2011|Deus Ex: Human Revolution|0|2|0|['Best RPG', 'Best Original Score']|0|Most Wanted Entertainment|Deep SilverParadox Interactive|||March|Tower defense, real-time strategy||
6892|2011|Dragon Age II|0|1|0|Best RPG|0|Love Conquers All Games||Ren'Py||April|Visual novel|Single-player|
6904|2011|Driver: San Francisco|0|1|0|Best Driving Game|0|Velez & Dubail|Ubisoft|||September|Sandbox, action, racing|Single-player|Driver
6922|2011|The Elder Scrolls V: Skyrim|3|2|['Game of the Year', 'Best RPG', 'Best DLC']|['Game of the Year', 'Best RPG']|1|Ignition Tokyo|UTV Ignition Games|Gamebryo||April|Action|Single-player|
6947|2011|Fight Night Champion|1|1|Best Individual Sports Game|Best Individual Sports Game|0|EA Canada[1]|EA Sports|||September|Sports|Single-player, multiplayer|FIFA
6961|2011|Forza Motorsport 4|1|2|Best Driving Game|['Best Xbox 360 Game', 'Best Driving Game']|0|ProjectorGames||XNA Studio||April|Sandbox|Single-player, multiplayer|
6978|2011|Gears of War 3|0|4|0|['Most Anticipated Game', 'Best Xbox 360 Game', 'Best Shooter', 'Best Multiplayer']|0|Vanguard Games|Electronic ArtsVanguard Games (PC)|||May|Multi-directional shooter||
7005|2011|The Gunstringer|0|1|0|Best Motion Game|0||||||||
7052|2011|Insanely Twisted Shadow Planet|0|1|0|Best Downloadable Game|0|||||January|Shooter||
7062|2011|Jetpack Joyride|0|1|0|Best Handheld/Mobile Game|0||Maximum Family Games|||October|Combat flight simulator||Jane's Combat Simulations
7078|2011|Killzone 3|0|1|0|Best PS3 Game|0|Hothead Games||||August|Puzzle game|Single-player|
7090|2011|Kirby's Return to Dream Land|0|1|0|Best Wii Game|0|HAL Laboratory|Nintendo|||August|Platformer|Single-player|Kirby
7095|2011|The Last Story|0|1|0|Best Wii/Wii U Game|0|HuneX|||PlayStation Portable||Otome game, Visual novel||
7104|2011|The Legend of Zelda: Skyward Sword|2|4|['Best Wii Game', 'Best Motion Game']|['Game of the Year', 'Best Wii Game', 'Best Action Adventure Game', 'Best Motion Game']|0|Grezzo|Nintendo|||June|Action-adventure|Single-player|The Legend of Zelda
7111|2011|LittleBigPlanet 2|0|1|0|Best PS3 Game|0|Bigbig Studios|Sony Computer Entertainment|||February|Minigame compilation|Single-player, multiplayer|
7134|2011|Marvel vs. Capcom 3: Fate of Two Worlds|0|1|0|Best Fighting Game|0|Griptonite Games|THQ, Vivendi Games|||November|Fighting, beat 'em up|Single-player|Marvel Super Hero Squad
7135|2011|Mass Effect 2: Arrival|0|1|0|Best DLC|0|CapcomEighting|Capcom|MT Framework||February|Fighting|Single-player, multiplayer|Marvel vs. Capcom
7149|2011|Minecraft|1|2|Best Independent Game|['Best PC Game', 'Best Independent Game']|0|feelplus|Square Enix|||January|Third-person shooter|Single-player, multiplayer|
7156|2011|MLB 11: The Show|0|1|0|Best Team Sports Game|0|Kingsoft Dalian JingCai Studio|"Wicked Interactive / Suba Games
CiB Net Station
Winner Online
M1 Games
Sabay

PT. Winner Interactive"|Unreal Engine||July|Action-adventure, First-person shooter|Multiplayer|
7189|2011|NBA 2K12|1|1|Best Team Sports Game|Best Team Sports Game|0|Firebrand Games|Activision|||November|Auto racing||
7191|2011|Need for Speed: The Run|0|1|0|Best Driving Game|0|EA Tiburon|EA Sports|||July|Traditional football simulation|Single player, multiplayer, online|
7195|2011|NHL 12|0|1|0|Best Team Sports Game|0|Pendulo Studios|Crimson Cow, Focus Home Interactive, Bulkypix (iOS)|||April|Adventure|Single player|
7196|2011|Ni no Kuni: Wrath of the White Witch|1|2|Best RPG|['Best RPG', 'Best Soundtrack']|0|EA Canada|EA Sports|||September|Sports|Single-player, Multiplayer, Online multiplayer|NHL series
7235|2011|Portal 2|6|6|['Most Anticipated Game', 'Best PC Game', 'Best Multiplayer', 'Best Performance by a Human Male', 'Best Performance by a Human Female', 'Best DLC']|['Most Anticipated Game', 'Game of the Year', 'Best Xbox 360 Game', 'Best PC Game', 'Best Multiplayer', 'Best Original Score']|0|Creatures Inc.|NintendoThe Pokémon Company|||February|Action-adventure|Single-player, multiplayer|Pokémon
7352|2011|The Stanley Parable|0|2|0|['Best Independent Game', 'Best PC Game']|0|Double Fine Productions|Double Fine ProductionsTHQ (consoles until 2013)|||February|Puzzle, adventure|Single-player|
7367|2011|Super Mario 3D Land|1|1|Best Handheld/Mobile Game|Best Handheld/Mobile Game|0|Free Range Games|Com2uS|Unity 3D||December|Sports|Single-player|
7373|2011|Superbrothers: Sword & Sworcery EP|0|1|0|Best Independent Game|0|DimpsCapcom|CapcomNintendo Australia|MT Framework Mobile||February|Fighting|Single-player, Competitive multiplayer|Street Fighter
7388|2011|Tekken Tag Tournament 2|0|1|0|Best Fighting Game|0|Namco Bandai Games|Namco Bandai Games|||November|Fighting|Single-player, Multiplayer|Tekken
7408|2011|Top Spin 4|0|1|0|Best Individual Sports Game|0|||||May|Simulation, RPG|Single-player with multiplayer interaction|
7426|2011|Uncharted 3: Drake's Deception|2|2|['Best PS3 Game', 'Best Graphics']|['Best PS3 Game', 'Best Graphics']|0|FuRyu|JP: FuRyuNA: Xseed Games|||January|Role-playing game|Single player|
7435|2011|Virtua Tennis 4|0|1|0|Best Individual Sports Game|0||||||||
7474|2011|WWE All Stars|0|1|0|Best Fighting Game|0|Yuke's|THQ|||January|Sports|Single-playerMultiplayer|WWE
7520|2012|Angry Birds Star Wars|0|1|0|Best Mobile Game|0|Rovio Entertainment|Rovio Entertainment|Box2D||March|Puzzle|Single-player|Angry Birds
7523|2012|Animal Crossing: New Leaf|1|2|Best Casual Game|['Best Handheld Game', 'Best Casual Game']|0|Shaadi.com|||||Simulation|Single-player|
7533|2012|Assassin's Creed III|0|5|0|['Game of the Year', 'Best Xbox 360 Game', 'Best PS3 Game', 'Best Action Adventure Game', 'Best Graphics']|0|Gameloft Montreal|Gameloft|||February|Racing|Single-player, online multiplayer|Asphalt
7570|2012|Borderlands 2|4|4|['Best Shooter', 'Best Multi-player Game', 'Best Performance by a Human Male', 'Character of the Year']|['Best Xbox 360 Game', 'Best PS3 Game', 'Best Shooter', 'Best Multi-player Game']|0||Nordic Games|||December|Adventure|Single-player|
7574|2012|Bravely Default|0|2|0|['Best Mobile/Handheld Game', 'Best Role Playing Game']|0|Behaviour Interactive|Disney Interactive Studios|||June|Action-adventure|single-player, multiplayer|
7583|2012|Call of Duty: Black Ops II|0|3|0|['Best Shooter', 'Best Multi-player Game', 'Best Original Score']|0|nStigate Games[1][2]|Activision|||November|First-person shooter|Single-player, multiplayer|Call of Duty
7632|2012|Darksiders II|0|1|0|Best Action Adventure Game|0|Digital Extremes|2K Games|Evolution with PhysX||February|First-person shooter|Single-player, multiplayer|The Darkness
7636|2012|Dead or Alive 5|0|1|0|Best Fighting Game|0||Black Market Games, Big Fish Games|||April|Puzzle, strategy|Single-player|
7648|2012|Diablo III|0|2|0|['Best PC Game', 'Best RPG']|0|||||October|Turn-based strategy||
7655|2012|Dishonored|2|5|['Best Action Adventure Game', 'Best Action/Adventure']|['Game of the Year', 'Best Xbox 360 Game', 'Best PS3 Game', 'Best Action Adventure Game', 'Best Graphics']|0|Codemasters|Codemasters|EGO Engine||May|Racing|Single-player, multiplayer|Colin McRae Rally
7680|2012|Dust: An Elysian Tail|0|1|0|Best Independent Game|0||||Linux, Windows||||
7734|2012|Forza Horizon|2|1|['Best Sports/Racing Game', 'Best Sports/Racing Game']|Best Driving Game|0|Perfect World Entertainment||||December|MMORPG|MMO|
7763|2012|Gravity Rush|0|1|0|Best Handheld/Mobile Game|0|EA Canada|EA Sports|||February|Sports (Tennis)|Single Player, Multiplayer|
7772|2012|Guild Wars 2|0|2|0|['Best PC Game', 'Best Multi-player Game']|0|Level-5Grasshopper Manufacture (Liberation Maiden)Vivarium Inc. (Aero Porter)Nex Entertainment (Weapon Shop de Omasse, Crimson Shroud)[8]|Level-5|||May|Compilation, role-playing game, shoot 'em up, simulation||
7779|2012|Halo 4|2|6|['Best Xbox 360 Game', 'Best Graphics']|['Most Anticipated Game', 'Best Xbox 360 Game', 'Best Shooter', 'Best Multi-player Game', 'Best Original Score', 'Best Graphics']|0||||PlayStation Portable||Visual novel||
7865|2012|Lego Batman 2: DC Super Heroes|0|1|0|Best Adapted Video Game|0|NovaCore Studios|Kalypso Media|(12 September 2012)||August|4X, Real-time strategy, Turn-based strategy|Single-player, Multiplayer|
7875|2012|LittleBigPlanet PS Vita|0|1|0|Best Handheld/Mobile Game|0|United Front GamesSCE San Diego StudioMedia Molecule|Sony Computer Entertainment|||January|Racing|Single-player, multiplayer[1]|LittleBigPlanet
7891|2012|Madden NFL 13|0|1|0|Best Team Sports Game|0|Techland|Ubisoft|Chrome Engine 4[1]||May|Off-road racing|Single-player, multiplayer|
7902|2012|Mark of the Ninja|0|1|0|Best Independent Game|0|Camelot Software Planning|Nintendo|||May|Sports|Single-player, multiplayer|Mario Tennis
7906|2012|Mass Effect 3|2|3|['Most Anticipated Game', 'Best RPG']|['Most Anticipated Game', 'Game of the Year', 'Best RPG']|0|Iron Galaxy Studios|Capcom|||September|Fighting|Single-player, Multiplayer|Marvel vs. Capcom
7908|2012|Max Payne 3|0|2|0|['Best Shooter', 'Best Original Score']|0|IronMonkey Studios|Electronic Arts|||March|Third-person shooter|Single-player|Mass Effect
7953|2012|NBA 2K13|1|1|Best Team Sports Game|Best Team Sports Game|0|Nihon Falcom|Nihon Falcom|||July|Action role-playing game|Single-player|
7959|2012|New Super Mario Bros. 2|0|1|0|Best Handheld/Mobile Game|0||Digital Chocolate|||February|Life simulation game, casual|Single-player with multiplayer interaction|
7960|2012|New Super Mario Bros. U|1|1|Best Wii/Wii U Game|Best Wii/Wii U Game|0|Nintendo EAD Group No. 4|Nintendo|||July|Platforming|Single-player, multiplayer|Super Mario
7963|2012|NHL 13|0|1|0|Best Team Sports Game|0|EA Tiburon|EA Sports|||January|Sports|Single player, multiplayer|NFL Blitz
7991|2012|Persona 4 Arena|1|1|Best Fighting Game|Best Fighting Game|0||Apex Designs|Unity||November|Role-playing|Single-player, multiplayer|
7994|2012|Tiger Woods PGA Tour 13|0|1|0|Best Individual Sports Game|0||||||||
8102|2012|SimCity Social|0|1|0|Best Social Game|0|Vatra Games|Konami Digital Entertainment|Unreal Engine 3||March|Survival horror|Single-player|Silent Hill
8129|2012|Sound Shapes|2|2|['Best Handheld/Mobile Game', 'Best Song in a Game']|['Best Handheld/Mobile Game', 'Best Downloadable Game']|0|Project Soul|Namco Bandai Games|||January|Fighting|Single-player, multiplayer|Soulcalibur
8150|2012|Street Fighter X Tekken|0|1|0|Best Fighting Game|0|Seow Zong Hui|Capcom|||December|Action, platformer|Single-player|Mega ManStreet Fighter
8195|2012|Torchlight II|0|2|0|['Best PC Game', 'Best RPG']|0|Ideas Pad|GMG Play|||October|Card game||
8199|2012|Transformers: Fall of Cybertron|0|1|0|Best Adapted Video Game|0||SMP|||November|Simulation|Single-player|
8247|2012|WWE '13|0|1|0|Best Individual Sports Game|0|Supersonic Software|505 Games|||March|Vehicular combat, racing|Single-player, multiplayer|
8248|2012|XCOM: Enemy Unknown|1|1|Best PC Game|Best PC Game|0|Yuke's|THQ (original versions) 2K Sports (later versions)|||March|Sports|Single-player, multiplayer|WWE 2K
8261|2012|ZombiU|0|1|0|Best Wii/Wii U Game|0|Six to Start|Six to Start|||February|Augmented reality, exergame|Single player|
8300|2013|Assassin's Creed IV: Black Flag|1|1|Best Action-Adventure Game|Best Action-Adventure Game|0|Gameloft Barcelona[a]|Gameloft|||January|Racing|Single-player, online multiplayer|Asphalt
8319|2013|Battlefield 4|0|2|0|['Best Shooter', 'Best PC Game']|0|The Behemoth Big Timber Studio|Microsoft StudiosThe Behemoth (Steam)|||April|Platformer|Single-player, multiplayer|
8323|2013|BioShock Infinite|3|7|['Character of the Year', 'Best Shooter', 'Best Song in a Game']|['Most Anticipated Game', 'Most Anticipated Game', 'Most Anticipated Game', 'Game of the Year', 'Best Shooter', 'Best Xbox Game', 'Best Soundtrack']|0|Quantic Dream|Sony Computer EntertainmentQuantic Dream (PC)|||July|Interactive drama, action-adventure|Single-player, multiplayer|
8338|2013|Brothers: A Tale of Two Sons|1|1|Best Xbox Game|Best Xbox Game|0|Revolution Software|Revolution Software|Virtual Theatre||February|Point-and-click adventure|Single-player|Broken Sword
8343|2013|Call of Duty: Ghosts|0|1|0|Best Shooter|0|MOSS|MOSSH2 Interactive (PS4, PC)|||January|Shoot 'em up|Single-player, multiplayer|
8422|2013|Divekick|0|1|0|Best Fighting Game|0|5pb.|5pb.|||August|Adventure, visual Novel|Single-player|
8477|2013|Far Cry 3: Blood Dragon|1|1|Best DLC|Best DLC|0|Radian-Helix Media|Project Team Brazil|Gamebryo||October|Action role-playing|Single-player|Fallout
8483|2013|FIFA 14|0|1|0|Best Sports Game|0||Replay Games|Unity||November|Point-and-click adventure game|Single-player|
8496|2013|Forza Motorsport 5|1|1|Best Driving Game|Best Driving Game|0|BetaDwarf|BetaDwarf|Unity||October|Action role-playing|Single-player, co-op|
8521|2013|Gone Home|2|2|['Best Independent Game', 'Best PC Game']|['Best Independent Game', 'Best PC Game']|0|Fishcow Studio|Daedalic Entertainment|||December|Adventure game|Single-player|
8527|2013|Grand Theft Auto Online|0|1|0|Best Ongoing Game|0|Cygames|Cygames|||March|Role-playing game|Single-player, Multiplayer|
8528|2013|Grand Theft Auto V|4|7|['Most Anticipated Game', 'Game of the Year', 'Best Soundtrack', 'Best Remaster']|['Most Anticipated Game', 'Game of the Year', 'Best Action-Adventure Game', 'Best Xbox Game', 'Best PlayStation Game', 'Best Soundtrack', 'Best Remaster']|1|Rockstar North|Rockstar Games|RAGE||April|Action-adventure|Multiplayer|Grand Theft Auto
8529|2013|Grid 2|0|1|0|Best Driving Game|0|Rockstar North[a]|Rockstar Games|RAGE||April|Action-adventure|Single-player, multiplayer|Grand Theft Auto
8562|2013|Infinity Blade III|0|1|0|Best Mobile Game|0|NeocoreGames|NeocoreGames|||March|Action role-playing|Single-player, multiplayer|
8564|2013|Injustice: Gods Among Us|1|1|Best Fighting Game|Best Fighting Game|0|Niantic|Niantic|||July|Augmented realitylocation-based gamemassively multiplayer online gamemassively multiplayer online real-time strategy game |Multiplayer |
8580|2013|Kentucky Route Zero|0|1|0|Best Independent Game|0|Kadokawa Games  KanColle Unei Chinjyufu Committee|DMM.com|||April|Online web browser gameFleet raising simulation||
8595|2013|The Last of Us|4|5|['Studio of the Year', 'Best PlayStation Game', 'Best Voice Actor', 'Best Voice Actress']|['Most Anticipated Game', 'Game of the Year', 'Best Action-Adventure Game', 'Best PlayStation Game', 'Best Soundtrack']|0|The Game Kitchen|The Game Kitchen|"Adobe AIR (The Last Door)
Unity (The Last Door: Season 2)"||2013-2016|Point-and-click adventure game|Single-player|
8599|2013|The Legend of Zelda: A Link Between Worlds|1|1|Best Handheld Game|Best Handheld Game|0||Softstar Entertainment Inc.|||January|Role-playing video game|Single player|The Legend of Sword and Fairy series
8645|2013|Mass Effect 3: Citadel|0|1|0|Best DLC|0|Demiurge StudiosWayForward Technologies (HD port)|D3 Publisher|||February|Puzzle, role-playing|Single-player, multiplayer|Puzzle Quest
8657|2013|Metro: Last Light|0|1|0|Best Shooter|0||Kadokawa Games|||November|Role-playing|Single-player|Metal Max
8662|2013|MLB 13: The Show|0|1|0|Best Sports Game|0|Acquire, ZeroDiv|JP: GungHo Online EntertainmentNA/EU: Aksys Games|||March|Role-playing, dungeon crawler|Single-player|
8677|2013|NBA 2K14|1|1|Best Sports Game|Best Sports Game|0|CyberConnect2|Namco Bandai Games|||January|Fighting, action|Single-player, multiplayer|Naruto: Ultimate Ninja
8680|2013|Need for Speed Rivals|0|1|0|Best Driving Game|0|EA Tiburon|EA Sports|||July|American football simulation|Single-player, multiplayer|
8686|2013|NHL 14|0|1|0|Best Sports Game|0|Nintendo EAD|Nintendo|||January|Platform|Single-player, multiplayer|Super Mario
8707|2013|Papers, Please|0|2|0|['Best Independent Game', 'Best PC Game']|0|Panzar Studio|Panzar Studio|CryEngine 3||April|Action|Multiplayer|
8714|2013|Persona 4 Arena Ultimax|0|1|0|Best Fighting Game|0||Bulkypix|||February|Platform, puzzle||
8721|2013|Pikmin 3|0|1|0|Best Nintendo Game|0|DingoEnterbrain|||PlayStation Vita||Dating sim||
8722|2013|Plants vs. Zombies 2: It's About Time|1|2|Best Mobile Game|['Best Casual Game', 'Best Mobile Game']|0|Nintendo EAD|Nintendo|||July|Real-time strategy|Single-player, multiplayer|Pikmin
8752|2013|Rayman Legends|0|2|0|['Best PlayStation Game', 'Best Nintendo Game']|0|Crescent Moon Games||Unity||March|role-playing game||Ravensword
8764|2013|Ridiculous Fishing|0|1|0|Best Mobile Game|0|Eutechnyx|Deep Silver|Unreal Engine 3||June|Action-adventure|Single-player|
8808|2013|Skylanders: Swap Force|0|1|0|Best Casual Game|0|||||2011-3|Flight-simulation||
8830|2013|The Stanley Parable|0|2|0|['Best Independent Game', 'Best PC Game']|0|"Behaviour Interactive
Engine Software (DS)"|Activision|||October|Action-adventure, platformer, third-person shooter|Single-player, multiplayer|SpongeBob SquarePants
8849|2013|Super Mario 3D World|1|2|Best Nintendo Game|['Game of the Year', 'Best Nintendo Game']|0||Adult Swim Games|||February|Platform game|Single-player|
8867|2013|Tekken Revolution|0|1|0|Best Fighting Game|0|Red Fly Studio|Activision|Unreal Engine 3||April|Action-adventure|Single-player, multiplayer[1][3]|Teenage Mutant Ninja Turtles
8881|2013|Tomodachi Life|0|1|0|Best Family Game|0|Crystal Dynamics[a]|Square Enix|||January|Action-adventure|Single-player, multiplayer|Tomb Raider
8902|2013|The Walking Dead: Season Two|0|2|0|['Best Narrative', 'Best Performance']|0|Deep-Sea Prisoner||RPG Maker 2003||December|Fantasy|Single-player|
8908|2013|Warframe|0|1|0|Best Ongoing Game|0|Crytek Kiev[a]Blackwood Games (2019-present)|My.comMicrosoft Studios (X360)|CryEngine V||April|First-person shooter|Multiplayer|
8915|2013|The Wolf Among Us|0|2|0|['Best Narrative', 'Best Performance']|0|Gamepot|Sony Online Entertainment|||January|Massively multiplayer online role-playing game||Wizardry
8916|2013|The Wonderful 101|0|1|0|Best Nintendo Game|0|Telltale Games|Telltale Games|Telltale Tool||February|Graphic adventureInteractive movie|Single-player|Fables
8960|2014|Alien: Isolation|0|2|0|['Best Action/Adventure', 'Best Score/Soundtrack']|0|August|||Windows, PlayStation Vita||Eroge, Visual novel||
8979|2014|Assassin's Creed Unity|0|1|0|Best Action/Adventure|0|Ubisoft Sofia[a]|Ubisoft|AnvilNext||March|Action-adventure, stealth|Single-player|Assassin's Creed
8992|2014|Bayonetta 2|0|2|0|['Best Action/Adventure', 'Game of the Year']|0|Mika Mobile||||May|Role-playing video game|Single-player|
9015|2014|Call of Duty: Advanced Warfare|0|3|0|['Best Online Experience', 'Best Performance', 'Best Shooter']|0||Ninja Crime||||Action, Strategy, Puzzle||
9029|2014|Child of Light|0|1|0|Best Score/Soundtrack|0||||||||
9055|2014|Dark Souls II|0|3|0|['Best Online Experience', 'Best Role Playing Game', 'Game of the Year']|0|Spike Chunsoft|JP: Spike ChunsoftWW: NIS AmericaWW: Spike Chunsoft (PC)|||June|Action-adventure|Single-player|Danganronpa
9076|2014|Disney Infinity: Marvel Super Heroes|0|1|0|Best Family Game|0|Milkbag Games|NimbleBit|||February|Zoo simulation video game|single-player|
9077|2014|Divinity: Original Sin|0|1|0|Best Role Playing Game|0|Avalanche Software|Disney Interactive Studios|||May|Action-adventure, sandbox, toys-to-life[6]|Single-player, multiplayer2|Disney Infinity
9083|2014|Dragon Age: Inquisition|2|2|['Best Role Playing Game', 'Game of the Year']|['Best Role Playing Game', 'Game of the Year']|1|KillHouse Games|KillHouse Games|||June|Real-time strategy|Single-player, Co-op Multiplayer|Door Kickers
9114|2014|Fantasia: Music Evolved|0|1|0|Best Family Game|0|TinyCo|Fox Digital Entertainment|||April|City-building game|Single-playermultiplayer|
9115|2014|Far Cry 4|1|1|Best Shooter|Best Shooter|0|Harmonix|Disney Interactive|||October|Music, rhythm|Single-player, multiplayer|
9122|2014|FIFA 15|0|1|0|Best Sports/Racing Game|0|Green Lava Studios|Reverb Triple XP|GameMaker: Studio||September|Platform|Single-player|
9133|2014|Forza Horizon 2|0|1|0|Best Sports/Racing Game|0|Sports Interactive|Sega|||November|Sports, business simulation||Football Manager
9167|2014|Halo: The Master Chief Collection|0|1|0|Best Remaster|0|Double Fine Productions|Double Fine Productions|||September|Action-adventure|Single-player|
9205|2014|Kentucky Route Zero|0|1|0|Best Independent Game|0|Cinemax||||March|Role-playing video game|Single-player|
9219|2014|The Last of Us: Left Behind|0|1|0|Games for Change|0|Arcen Games|Arcen Games|Unity||April||Single-player |
9258|2014|Mario Kart 8|2|2|['Best Family Game', 'Best Sports/Racing Game']|['Best Family Game', 'Best Sports/Racing Game']|0|Camelot Software Planning|Nintendo|||May|Sports|Single-player, multiplayer|Mario Golf
9267|2014|Middle-earth: Shadow of Mordor|1|3|Best Action/Adventure|['Best Action/Adventure', 'Best Performance', 'Game of the Year']|0|MOGA|Pocket Trend|||July|RPG||
9299|2014|NBA 2K15|0|1|0|Best Sports/Racing Game|0||GamenGame, Nexon, Valve Corporation|||June|MMO-action|MMO|
9344|2014|Pokémon Omega Ruby and Alpha Sapphire|0|1|0|Best Remaster|0|Genius Sonority|The Pokémon Company|||March|Puzzle|Single-player, multiplayer|Pokémon
9398|2014|Shovel Knight|1|1|Best Independent Game|Best Independent Game|0|Media.VisionO-Two (Refrain)[1]|Sega|||March|Role-playing|Single-player|Shining
9404|2014|Skylanders: Trap Team|0|1|0|Best Family Game|0|Big Robot||Unity||May|Survival horror, stealth|Single-player, multiplayer|
9418|2014|South Park: The Stick of Truth|1|5|Best Performance|['Most Anticipated Game', 'Most Anticipated Game', 'Best Narrative', 'Best Performance', 'Best Role Playing Game']|0|Project Soul|Bandai Namco Games|||February|Fighting|Single-player|Soulcalibur
9445|2014|Sunset Overdrive|0|2|0|['Best Action/Adventure', 'Best Score/Soundtrack']|0|Com2Us|Com2Us|||June|Turn-based Strategy, MMO||
9462|2014|Tales from the Borderlands|0|1|0|Best Narrative|0||||||||
9475|2014|This War of Mine|0|1|0|Games for Change|0|Stridemann|SignHead Studio|Source||April|Puzzle platformer|Single-player|
