|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
4500|2008|Mirror's Edge|0|1|0|Best Action Adventure Game|0|EA DICE|Electronic Arts|Unreal Engine 3||January|Action-adventure, platform|Single-player|
4516|2008|Mortal Kombat vs. DC Universe|0|1|0|Best Fighting Game|0|Midway Games|Midway Games|Unreal Engine 3[1]||November|Fighting|Single-player, multiplayer|Mortal Kombat
4549|2008|Naruto: The Broken Bond|0|1|0|Best Game Based on a Movie or TV Show|0|Ubisoft Montreal|Ubisoft|Jade||November|Fighting, action-adventure|Single-player, multiplayer|
4552|2008|NBA 2K9|0|1|0|Best Team Sports Game|0|Visual Concepts|2K Sports|||March|Sports|Single-player, multiplayer|NBA 2K
4566|2008|NHL 09|1|1|Best Team Sports Game|Best Team Sports Game|0|EA Canada (PlayStation 3, Xbox 360)HB Studios (Microsoft Windows, PlayStation 2)|EA Sports[1]|||September|Sports|Single-player, Multiplayer|NHL series
4606|2008|Tiger Woods PGA Tour 09|0|1|0|Best Individual Sports Game|0|EA TiburonExient Entertainment (PS2, PSP)|EA Sports|||August|Sports|Single-player, multiplayer|PGA Tour
4616|2008|PixelJunk Eden|0|1|0|Best Independent Game Fueld By Dew|0|Q-Games|Sony Computer Entertainment|||February|Platform, puzzle||PixelJunk
4644|2008|Professor Layton and the Unwound Future|0|1|0|Best Handheld Game|0|Level-5|JP: Level-5WW: Nintendo|||September|Puzzle, Adventure|Single-player|Professor Layton
4664|2008|Resistance 2|0|3|0|['Best Shooter', 'Best PS3 Game', 'Best Multiplayer Game']|0|Insomniac Games|Sony Computer Entertainment|Insomniac Engine 2.0||November|First-person shooter|Single-player, multiplayer|Resistance
4671|2008|Rock Band 2|2|2|['Best Music Game', 'Best Soundtrack']|['Best Music Game', 'Best Soundtrack']|0|Harmonix (Xbox 360/PS3) Pi Studios (PS2/Wii)|MTV Games|||March|Rhythm game|Single-player, multiplayer|Rock Band
4713|2008|Shaun White Snowboarding|1|1|Best Individual Sports Game|Best Individual Sports Game|0|Ubisoft Montreal|Ubisoft|Scimitar||March|Sports (Snowboarding)|Single-player, Multiplayer|
4733|2008|Skate It|0|1|0|Best Individual Sports Game|0|EA Montreal (Wii)Exient Entertainment (DS)EA Black Box|Electronic Arts|||May|Extreme sports|Single-player, multiplayer|
4745|2008|Sonic Unleashed|0|1|0|Best Graphics|0|Sonic Team [a]|Sega (PS2, Wii, Xbox 360, PS3)  Gameloft (mobile)|||February|Platformer, action-adventure, beat 'em up|Single-player|Sonic the Hedgehog
4749|2008|Soulcalibur IV|1|1|Best Fighting Game|Best Fighting Game|0|Project Soul|Namco (Japan, Europe and Australia)  Namco Bandai Games (North America)|||July|Fighting|Single-player, multiplayer|Soulcalibur
4776|2008|Star Wars: The Force Unleashed|0|1|0|Best Game Based on a Movie or TV Show|0|LucasArts (PS3, X360)Aspyr (PC, Mac OS X)Krome Studios (PS2, PSP, Wii)n-Space (NDS)Universomo (J2ME, N-Gage, iOS)|LucasArtsTHQ Wireless (iOS, J2ME, N-Gage)|||February|Action-adventure, hack and slash|Single-player, multiplayer[a]|Star Wars: The Force Unleashed
4783|2008|Street Fighter IV|1|1|Best Fighting Game|Best Fighting Game|0|DimpsCapcom|Capcom|||February|Fighting|Single-player, competitive multiplayer|Street Fighter
4797|2008|Super Smash Bros. Brawl|0|2|0|['Best Wii Game', 'Best Fighting Game']|0|"
Game Arts
HAL Laboratory
Sora Ltd.
"|Nintendo|||January|Fighting|Single-player, multiplayer|Super Smash Bros.
4881|2008|Warhammer Online: Age of Reckoning|0|2|0|['Best RPG', 'Best PC Game']|0|Mythic Entertainment|Electronic Arts|Gamebryo||July|MMORPG|Multiplayer|Warhammer Fantasy
4898|2008|Wii Music|0|1|0|Best Music Game|0|Nintendo EAD Group No. 2|Nintendo|||October|Music|Single-player, multiplayer|Wii
4913|2008|World of Goo|1|1|Best Independent Game Fueld By Dew|Best Independent Game Fueld By Dew|0|2D Boy|2D BoyBrighter Minds Media[1][2] (retail, USA)Tomorrow Corporation (NS)Microsoft Game Studios[3] (GFWL)|||January|Puzzle|Single-player, multiplayer|
4994|2009|Assassin's Creed II|1|3|Best Action Adventure Game|['Game of the Year', 'Best Action Adventure Game', 'Best Original Score']|0|Ubisoft Montreal|Ubisoft|Anvil||January|Action-adventure, stealth|Single-player|Assassin's Creed
5009|2009|Batman: Arkham Asylum|1|4|Studio of the Year|['Game of the Year', 'Best Xbox 360 Game', 'Best Action Adventure Game', 'Best Graphics']|0|Rocksteady Studios|Eidos InteractiveWarner Bros. Interactive Entertainment|Unreal Engine 3||August|Action-adventure|Single-player|Batman: Arkham
5012|2009|Battlefield 1943|0|1|0|Best Downloadable Game|0|EA DICE|Electronic Arts|Frostbite 1.5[1][2][3]||July|First-person shooter|Multiplayer|Battlefield
5020|2009|The Beatles: Rock Band|1|2|Best Music Game|['Best Music Game', 'Best Soundtrack']|0|Harmonix (PS3/Xbox 360)Pi Studios (Wii)|MTV Games|||September|Rhythm game|Single-player, multiplayer|Rock Band
5062|2009|Brütal Legend|1|3|Best Voice|['Best Action Adventure Game', 'Best Soundtrack', 'Best Cast']|0|Double Fine Productions|Electronic Arts[1]Double Fine Productions (PC)|||February|Action-adventure, real-time strategy|Single-player, multiplayer|
5075|2009|Call of Duty: Modern Warfare 2|2|5|['Best Shooter', 'Best Multiplayer Game']|['Game of the Year', 'Best Shooter', 'Best Multiplayer Game', 'Best Original Score', 'Best Graphics']|0|Infinity Ward|Activision|IW 4.0||May|First-person shooter|Single-player, multiplayer|Call of Duty
5100|2009|The Chronicles of Riddick: Assault on Dark Athena|0|1|0|Best Game Based On A Movie/TV Show|0|Starbreeze Studios|Atari|||April|Action-adventure, stealth|Single-player, multiplayer|The Chronicles of Riddick
5148|2009|Demon's Souls|0|1|0|Best RPG|0|FromSoftware|JP: Sony Computer EntertainmentNA: Atlus USAPAL: Namco Bandai Games|||February|Action role-playing|Single-player, multiplayer|Souls
5160|2009|DJ Hero|2|2|['Best Soundtrack', 'Best Soundtrack']|['Best Music Game', 'Best Soundtrack']|0|FreeStyleGames, Exient Entertainment (Wii/PS2)|Activision|||October|Music video game, Rhythm game|Single-player, multiplayer|Hero
5170|2009|Dragon Age: Origins|2|2|['Best PC Game', 'Best RPG']|['Best PC Game', 'Best RPG']|0|BioWare|Electronic Arts|Eclipse Engine||November|Role-playing|Single-player|Dragon Age
5196|2009|Eat Lead: The Return of Matt Hazard|1|2|Best Comedy Game|['Best Cast', 'Best Comedy Game']|0||D3 Publisher|Vicious Engine 2||February|Third-person shooter|Single-player|
5236|2009|Fat Princess|0|1|0|Best Downloadable Game|0|Titan Studios|Sony Computer Entertainment|Unreal Engine 3||March|Action, real-time strategy|Single-player, multiplayer|
5239|2009|FIFA 10|0|1|0|Best Team Sports Game|0|EA Canada (Xbox 360, PS3)HB Studios (PC, PSP, PS2)[1]Sumo Digital (Wii)Exient Entertainment (Nintendo DS)|EA Sports|||October|Sports|Single-player, Multiplayer|FIFA
5240|2009|Fight Night Round 4|0|1|0|Best Individual Sports Game|0|EA Canada|EA Sports|||January|Sports|Single-player, multiplayer|
5242|2009|Final Fantasy XIII|0|1|0|Best RPG|0|Square Enix 1st Production Department|Square Enix|Crystal Tools||March|Role-playing|Single-player|Final FantasyFabula Nova Crystallis
5264|2009|Forza Motorsport 3|1|2|Best Driving Game|['Best Xbox 360 Game', 'Best Driving Game']|0|Turn 10 Studios|Microsoft Game Studios|||October|Racing|Single-player, multiplayer|Forza
5286|2009|Ghostbusters: The Video Game|0|2|0|['Best Game Based On A Movie/TV Show', 'Best Cast']|0|Terminal RealityRed Fly StudioSaber Interactive (Remastered)|AtariSony Computer Entertainment EuropeMad Dog Games (Remastered)|Infernal Engine||June|Action-adventure game|Single-player, multiplayer|Ghostbusters
5299|2009|Grand Theft Auto IV: The Lost and Damned|0|1|0|Best DLC|0|Rockstar North[a]|Rockstar Games|RAGE||February|Action-adventure|Single-player, multiplayer|Grand Theft Auto
5300|2009|Grand Theft Auto: Chinatown Wars|1|1|Best Handheld Game|Best Handheld Game|0|Rockstar LeedsRockstar North[a]|Rockstar Games|||January|Action-adventure[10]|Single-player, multiplayer (NDS & PSP only)|Grand Theft Auto
