|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
2127|Electronic Arts|Electronic Arts|||August|MMORPG|Multiplayer|
2128|Treyarch[a]Vicarious Visions (GBA, NDS)|Activision|Treyarch NGL||September|Action-adventure|Single-player|
2129|||||October|||
2130|Bandai|Bandai|RenderWare||May|Fighting|1-2 player(s)|
2131|Koei Tecmo|"Netmarble→OGPlanet→Papaya Play (NA, EU)  Koei→Koei Tecmo (Japan)
Softstar→Cayenne Tech (Taiwan)"|||March|MMORPG|Multiplayer|Uncharted Waters 
2132|G.rev|Sega (JP, Dreamcast)G.rev (JP)Rising Star Games (EU,NA)|||February|Vertical scrolling shooter|Single-player, multiplayer|
2133|Afkar Media|Dar al-Fikr|||2005|First-person shooter|Single-player|
2134||"DreamCatcher Interactive Inc.
3000AD (freeware)"|"Game Builder System III
2.00.31 (freeware)"||January|Space Combat Simulation|Singleplayer, Multiplayer|
2135|Epic Games|Midway Games|Unreal Engine 2.5||April|First-person shooter, third-person shooter|Single-player, multiplayer|Unreal
2136||Sony Online Entertainment|||March|Action role-playing|Single-player, multiplayer|
2137|Kevan Davis||||July|Survival horror MMORPG|Multiplayer|
2138|Urban Development|Autoklub RijekaTalented Programmers Association of Rijeka (DIR)|||December|Educational driving game|Single-player|
2139|Namco|Namco|||February|Beat 'em up, Fighting|Single player, multiplayer|
2140||D3|||July|Love Simulation+RPG|Single player|
2141|Capcom|Capcom|||May|Fighting game|Single-player, multiplayer|Darkstalkers
2142|The Vega Strike Team|||||Space simulation|Single-player, multiplayer|
2143||||||||
2144|PterodonIllusion Softworks|2K Games|||October|First-person shooter, tactical shooter|Single-player, multiplayer|
2145|Clover Studio|Capcom|||February|Action, platform, beat 'em up|Single-player|
2146|Clover Studio|Capcom|||February|Fighting, beat 'em up|Single-player, multiplayer|
2147||||||||
2148||Sega|||January|Sports|Single-player|Virtua Tennis
2149|Walt Disney Parks and ResortsSulake Corporation|Walt Disney Parks and Resorts|Adobe Shockwave||May|Massively multiplayer online game|Multiplayer|
2150|Celeris|Global Star Software|||May|Sports simulation – snooker & pool|Single-player, offline multiplayer|
2151|Action Forms|1C Company|AtmosFear||January|First-person shooter, survival horror|Single-player|
2152|Kheops Studio[1]|The Adventure Company[2]|||March|Adventure|Single-player|
2153|Frontier Developments|Konami|||March|Platform|Single-player multiplayer|
2154|Third Wave Games|Third Wave Games,Flashman Studios(Xbox 360),Lighthouse Interactive(Windows, Europe)|||March|Action,First-person Shooter|Single player, Multiplayer|
2155|Relic Entertainment|"
THQ (former)
Sega (current)
"|||September|Real-time strategy|Single-player, multiplayer|Warhammer 40,000
2156|Rockstar Toronto[a]|Rockstar Games|||February|Action-adventure, beat 'em up|Single-player, multiplayer|
2157|G.rev|ArcadeJP: SegaXbox 360JP: G.revKOR: CyberFront KoreaNA: UbisoftEU: Ubisoft|||April|Fighting/Shooter|Single-player, Multiplayer|
2158|Namco|NamcoPAL: Electronic Arts|||February|Puzzle, action|Single-player, multiplayer|Katamari
2159||||||||
2160|Studio Trophis||Wintermute Engine ||March|Single-player Adventure|Single-player |
2161|Media.Vision|JP: SCEINA: Xseed GamesPAL: 505 Game Street|||January|Role-playing|Single-player|Wild Arms
2162|Pocketwatch Games|Pocketwatch Games, MumboJumbo|Torque Game Engine||October|Simulation|Single-player|World Ventures
2163|Phoenix Studio[1]|Ubisoft[1]|||February|Action-adventure|Single-player|
2164||Sony Computer Entertainment|||March|Racing|Single-player, multiplayer|Wipeout
2165|Circle Studio|Capcom|||October|Third-person shooter|Single player|
2166|Atari, Inc.|Atari (Infogrames)|||October|Maze|Multiplayer|
2167||Internet Gaming Gate|||April|Massively Multiplayer Online Role-playing Game||
2168|Sony Computer Entertainment|D3 PublisherSony Computer Entertainment|||September|Action|Single-player, Multiplayer|
2169|Coresoft, Point of View|Crave Entertainment, Oxygen Games, 505 Games|||March|Traditional (poker), Card game|Single-player, multiplayer|
2170|Synetic|TDK Mediactive|||2006|Racing||
2171|Traveller's Tales|EU: SCEENA: Namco Bandai Games America|Formula One Grand Prix||April|Racing|Single-player|World Rally Championship
2172|Left Field Productions|Activision|||February|Traditional (poker)|Single-player|
2173|Blade Interactive|Sega|||April|Sports|Single-player, multiplayer|World Snooker Championship
2174|SCE London Studio|Sony Computer Entertainment|||March|Sports|Single-player, multiplayer|This is Football
2175|Team17|EU: CodemastersAU: CodemastersNA: Majesco Entertainment|||July|Artillery[1] strategy|Single-player, multiplayer|Worms
2176|Evolution Studios|Sony Computer Entertainment|||October|Racing|Single-player, multiplayer|World Rally Championship
2177|Yuke's|Yuke's|||July|Fighting|Single-player, multiplayer|
2178|Exient Entertainment|THQ|||July|Professional wrestling, Fighting|Single player and Online Mode|
2179|Yuke's|THQ|||August|Sports (Fighting)|Single-player, mutliplayer|
2180|Yuke's|WW: THQJP: Yuke's|||February|Sports (Fighting)|Single-player, multiplayer|SmackDown vs. Raw
2181|Studio Gigante|THQ|||April|Professional wrestling|Single-playerMultiplayer|
2182|Egosoft|EU: Deep SilverNA: EnlightWW: Linux Game Publishing (Linux)|X3 Reality Engine||May|Space simulation|Single player|X
2183|"
Raven Software
SuperVillain Studios
Beenox (PC)
Vicarious Visions (PSP)
Barking Lizards (N-Gage)
"|Activision|||September|Action role-playing|Single-player, multiplayer|
2184||||Linux, FreeBSD, Mac OS X and Microsoft Windows||||
2185|Nihon FalcomScriptArts (N-Gage)|JP: Nihon Falcom (PC)WW: XSEED Games (PC)WW: Nokia (N-Gage)|||June|Action role-playing game|One player; two-players (N-Gage)|
2186|"Triangle Service (Arcade)
Dreams (PS2)"|"JP: Taito (arcade, PS2)
EU: 505 Game Street (PS2)"|LightWave||March|Shoot 'em up|Single player, Multiplayer|
2187|MediaKite[a]|Nintendo|||March|Puzzle|Single-player, multiplayer|Yakuman
2188|Sega NE R&D[a]|Sega|||August|Action-adventure|Single-player|Yakuza
2189||||||||
2190||"JP: Two-Five
NA: Hirameki International"|||July|Visual novel, Otome game|Single player|
2191|August (Windows)Aria, HuneX (PS2, PSP)|||Windows, PS2, PSP||Visual novel||
2192|NTIX SoftNeowiz REDDUCK Inc. (art work)|JP: GungHo|||May|MMORPG|massively multiplayer|
2193|Nintendo EAD Group No. 4|Nintendo|||January|Platforming|Single-player, multiplayer|Yoshi
2194|FromSoftware|FromSoftware|||January|Action, historical, real-time strategy|Single player, multiplayer|
2195|Nihon Falcom|JP: Nihon FalcomWW: Xseed Games|||January|Action role-playing|Single-player|Ys
2196|Rúf|JP: RúfNA: Peach Princess|||April|Eroge, Visual novel|Single Player|
2197|Eighting|Bandai|RenderWare||March|Fighting|Single-player, multiplayer|
2198|Langmaor|Will JP JAST USA/Peach Princess US|||April|BL game, dating sim|Single player|
2199||Tecmo Koei|||January|Role-Playing Game|Single-player|Zill O'll
2200|Blue Fang Games|Microsoft Game Studios|Gamebryo||October|Business simulation game|Single player|Zoo Tycoon
2201|Altron|THQ|||April|Business simulation game|Single player|Zoo Tycoon
2202|Wanako Studios|Vivendi Games|||April|Sports|Single player, multiplayer|
2203|||Adobe Flash Player||May|BusinessSerious Games||
2204|SCE Studio Cambridge|EU: Sony Computer Entertainment EuropeNA: 2K Games|||February|Third-person shooter|Single-player|
2205|Avalanche SoftwareRitual EntertainmentCrystal Dynamics|Eidos InteractiveSquare Enix (digital)|||January|Third-person shooter|Single-player, multiplayer|
2206|Access Games|Namco Bandai Games EU: SCE Europe|||October|Arcade, combat flight simulator|Single-player, multiplayer|Ace Combat
2207|Namco|Bandai Namco Games|||March|Combat flight simulator|Single-player, multiplayer|Ace Combat
2208|MasangSoft Inc.|YD Online Corp. (Korea)  MasangSoft Inc. (Europe)  Suba Games, LLC (North America) Axeso5 (Latin America)  Winner Online (Thailand) VTC Online (Vietnam) Yetime (China) Gamon (Taiwan) Arario Corp. (Japan)  Innova Inc. (Russia) OhLaLa Interactive (South East Asia)|||May|MMO 3D Space Shooter|Multiplayer|
2209|Eugen Systems|Atari, Inc.|||March|Real-time strategy|Single-player, multiplayer|Act of War: Direct Action
2210|Idea Factory|Idea FactoryNippon Ichi SoftwareGhostlight|||March|Turn-based strategy, Real-time tactics|Single playerMultiplayer|
2211|IR Gurus|SCEE|||July|Sports game|Multiplayer|AFL
2212|Sega AM2|Sega|||February|Combat flight simulator, shoot 'em up|Single player|
2213|AWE Productions|The Adventure Company|||March|Adventure|Single-player|Agatha Christie
2214|Ensemble Studios (original) MacSoft (port and updates) Robot Entertainment (updates)|Microsoft Game Studios (PC)  MacSoft (Mac)|||June|Real-time strategy|Single-player, multiplayer|Age of Empires
2215|Backbone Entertainment|Majesco Entertainment|||February|Turn-based strategy|Single-player, multiplayer|
2216|Akella|1C Company, Playlogic|||September|Role-playing video game||Age of Pirates 
2217|ProSIM Company|Shrapnel Games|||November|Wargame|Single-player, Multiplayer|
2218|3Division Entertainment|Frogster Interactive|||April|Combat flight simulator|Single-player, multiplayer|
2219|Himalaya Studios|Himalaya Studios|Adventure Game Studio||September|Adventure|Single-player|
2220|Razorback Developments (Game Boy Advance)Altron (Nintendo DS)|THQ|||July|Action-adventure|Single-player|
2221|MediaWorks|||Nintendo DS||Sound novel||
2222|WayForward|Buena Vista Games|||September|Action|Players: 1-4|
2223|Atomic Planet Entertainment|Mud Duck Productions (NA)  Blast Entertainment (EU)|||June|Bowling||
2224|Black Ops Entertainment|Ubisoft|||March|Sports, Basketball|Single-player, multiplayer|
2225|UserJoy Technology||||June|MMORPG|Online multiplayer|
2226|Deck13 Interactive|Xider|OGRE, PINA||May|Third-person adventure|Single-player|
2227|Related Designs|Sunflowers Interactive  Deep Silver|||October|Real-time strategy, city-building game|Single-player, multiplayer|Anno
2228|From Software|Banpresto|||March|Action|Single-player, multiplayer|
2229|Artificial Mind and Movement|Midway Games|||March|Action-adventure|Single-player|
2230|Gust Co. Ltd.|BanprestoNIS America505 Games|||January|Role-playing video game|Single player|Ar tonelico
2231||QuinRose & Prototype|||August|Role-playing video game, visual novel|Single-player|
2232|Electronic Arts|Electronic Arts|||February|Sports|Single-player  multiplayer|
2233|Bohemia Interactive|505 GamesAtari|Real Virtuality||February|Tactical shooter|Single-player, multiplayer|ARMA
2234|Peter Stock|Independent|||April|Puzzle|Single player|
2235|FromSoftware|JP: FromSoftwareNA: SegaPAL: 505 Games|||March|Vehicular combat|Single player, multiplayer|Armored Core
2236|Team17|Global Star Software|||April|Third-person shooter|Single-player|
2237|Gameloft Shanghai|Gameloft|||20062008 (N-Gage 2.0)|Racing||Asphalt
2238|Wanako Games|Vivendi Games[a]Konami (PSN)|||January|Top-down shooter|Single-player, multiplayer|
2239|Etranges LibellulesOsome Studio (Remaster)|Atari EuropeMicroids (Remaster)|||June|Action-adventure|Single-player|
2240|Mistic Software, Tate Interactive|Atari Europe|||November|Platform||
2241|Gust Co. Ltd.|JP: Gust Co. Ltd.NA: NIS AmericaAU: THQEU: Koei|||May|Role-playing|Single-player|Atelier
2242|SNK Playmore|SNK Playmore|||2006|Platform|Single player|Athena series
2243||Big Fish Games|PTK||August|Puzzle|Single player|
2244|Isotope 244||||December|Jousting/Joust remake|Single Player|
2245|Climax Racing|Sony Computer Entertainment|||March|Racing|Single-player, multiplayer|MX vs. ATV
2246|Climax Racing|Sony Computer Entertainment|||June|Racing||MX vs. ATV
2247|NetDevil|NCSOFT|Havok 2||April|Vehicular combatrole playing|Multiplayer|
2248|THQ Studio AustraliaTOSE (DS)Halfbrick (GBA)|THQ|||February|Action-adventure, action role-playing|Single player|
2249|Hidden Floor[1]|EU: Neko Entertainment / Big Ben InteractiveNA: Graffiti Entertainment / O~3 Entertainment|||December|Action role-playing, hack and slash|Single-player|
2250|Enlight Software|The Mauretania Import Export Company|||September|Action-adventure, Third person shooter|Single-player|
2251|Three_Rings_Design|Three_Rings_Design|jMonkey Engine||2006-12-01|Strategy, Western|Online single- and multi-player|
2252|Blue Tongue Entertainment (PS2, GC, Wii and PC versions)Halfbrick (GBA version)|THQ|TOSHI||February|Party, adventure|Single-player|
2253|Shadow Tor Studios|Shadow Tor StudiosLighthouse InteractiveGot Game EntertainmentAkella|||April|First-person adventure|Single player|
2254|Jarhead Games|Vivendi Games|||November|||
2255|Monolith Softtri-Crescendo|Nintendo|||February|Role-playing|Single-player|
2256|A2A Simulations (formerly known as Shockwave Productions, Inc.)|TRI Synergy, GMX Media|||August|Flight simulator|Single player|
2257|Eighting|Namco Bandai Games|||July|Fighting|Single-player, Multiplayer|Shōnen Jump
2258|EA DICE|Electronic Arts|||March|First-person shooter|Single-player, multiplayer|Battlefield
2259|Gravity-I|DSI Games|||August|Puzzle gameTraditional game||
2260|Konami|Konami|9th Style||March|Music game|Single-player, multiplayer|
2261|Konami Computer Entertainment Tokyo|KCET|||May|Music|Single-player & Multiplayer|beatmania IIDX & Bemani
2262|Konami Computer Entertainment Tokyo|KCET|||July|Music|Single-player & Multiplayer|beatmania IIDX & Bemani
2263|Konami Computer Entertainment Tokyo|KCET|||March|Music|Single-player & Multiplayer|beatmania IIDX & Bemani
2264|C&E Inc.|C&E Inc.  Super Fighter Team|||1996 (first release)  1998 (second release)  2006 (third release)  2013 (Windows and Mac OS X)|Role-playing video game|Single-player|
2265|Grundislav Games|Grundislav Games|Adventure Game Studio||February|Point-and-click adventure|Single-player|
2266|Atomic Planet Entertainment|Blast Entertainment|||EU: 2006|First-person shooter|Single player|
2267|Blitz Games|King Games|BlitzTech||November|Racing, action|Single-player, multiplayer|
2268|Creat Studios (PS2)Full Fat (NDS)|The Game Factory|||February|Racing|Single-player|
2269|Data Design Interactive|Metro3D Europe (PlayStation 2 and PC) Data Design Interactive (Europe, Wii)  Conspiracy Entertainment (North America)|||January|Racing, platform|Single player, multiplayer (2-4)|
2270|Traveller's TalesAmaze Entertainment (handheld)Universomo (J2ME)|Eidos InteractiveTT Games PublishingSquare Enix (digital)|||January|Action-adventure|Single-player|
2271|SEP BOA|AGEOD|||February|Wargame|Single player, multiplayer|
2272||Nintendo|||July|Action, puzzle, art game|Single-player, Multiplayer (Coloris, Boundish and Digidrive only)|
2273|Criterion Games|Electronic Arts|RenderWare||February|First-person shooter|Single-player|
2274|Lionhead Studios|Electronic Arts|||April|Real-time strategy, God game|Single-player|Black & White 
2275||Wadjet Eye Games|Adventure Game Studio||July|Adventure game|Single-player|Blackwell
2276|Hit Maker|JP: SCEINA: NIS AmericaEU: Ignition Entertainment|||February|Role-playing video game|Single-player, Multiplayer|
2277|InterActive Vision|Summitsoft Entertainment|||April|Flight simulator||
2278|Bluepoint Games|Sony Computer Entertainment|||March|Shooter|Single-player, multiplayer|
2279|Ubisoft Bucharest|Ubisoft|||March|Flight combat|Single-player, multiplayer|Blazing Angels
2280|Idea Factory, HyperDevbox Japan (Android, iOS)|JP: Idea FactoryNA: Aksys Games (PSP)EU: Rising Star Games (PSP)WW: HyperDevbox Japan (Android, iOS)|||January|Tactical role-playing|Single-player|
2281|Treasure|SegaViz MediaShonen Jump|||January|Fighting|Single-player, multiplayer|
2282|Games for Loving|Games for Loving|||November|Romance|Multiplayer|
2283|PomPom Games|Codemasters|||January|Puzzle|Single-player|
2284|BW Team||PHP||2006|MMORPG text-based||
2285|SCEI|||PSP||Adventure RPG||
2286|SCEI|||PSP||Adventure RPG||
2287|MistwalkerArtoon|Microsoft Game Studios|||August|Role-playing video game|Single-player|
2288|Millennium Kitchen|Sony Computer Entertainment|||June|Adventure|Single player|Boku no Natsuyasumi 
2289|Hudson Soft|JP: Hudson SoftNA/EU: Konami|||February|Strategy|Single-player, multiplayer|Bomberman
2290|Hudson Soft|JP: Hudson SoftNA: AtlusEU: Rising Star GamesAU: Red Ant Enterprises|||February|Puzzle/Party|Single-player, multiplayer|Bomberman
2291|Hudson Soft|JP: Hudson SoftNA/EU: Konami|||August|Action|Single-player, multiplayer|Bomberman
2292|Telltale Games|Telltale Games|Telltale Tool||April|Adventure|Single player|
2293||Hudson Soft|||Q4 2006||Single player|Bonk
2294|PopCap Games|PopCap Games|PopCap Games Framework||January|Puzzle|Single-player|Bookworm
2295|N-Log Soft|Acclaim Games||||MMO, Fighting|Single-player, multiplayer|
2296|XPEC Entertainment|Namco|||September|Third-person shooter||
2297|Grand Prix|Ertain Corporation|||September|Fighting, Sports|Single-player, multiplayer(up to two players)|
2298|AgetecNikoli|AgetecJaleco505 Games|||June|Puzzle game||
2299|Game Republic|JP: Sony Computer EntertainmentNA: Xseed Games|||July|Role-playing|Single-player|
2300|Revolution SoftwareSumo Digital|THQNA: DreamCatcher Interactive|Emmersion||February|Point-and-click adventure|Single-player|Broken Sword
2301|Gearbox SoftwareUbisoft Shanghai|Ubisoft|Unreal Engine 2.0||November|First-person shooter|Single-player, multiplayer|Brothers in Arms
2302|Opus|JP: Marvelous EntertainmentNA: CodemastersEU: Rising Star Games|||August|Platform, Puzzle||
2303|Absolutist|Merscom|||May|Puzzle|Single-player, multiplayer|
2304|Xbox 360CaviaMicrosoft WindowsMarvelous[1]|Xbox 360JP: AQ InteractiveWW: AtariMicrosoft WindowsWW: Xseed Games|||February|Third-person shooter|Single-player|
2305|Rockstar Vancouver[a]|Rockstar Games|RenderWareGamebryo[b]||March|Action-adventure|Single-player, multiplayer[c]|
2306|Magenta Software, Cohort Studios (PSN)|Sony Computer Entertainment Europe|||March|Party|Single player, multiplayer|Buzz!
2307|Relentless Software|Sony Computer Entertainment Europe|||March|Party|Single-player, multiplayer up to 8 players|Buzz! 
2308|Kuju Entertainment|Sony Computer Entertainment Europe|||November|Party|Single-player, multiplayer|
2309|Sand Grain Studios (PS2 and PSP), Magic Wand Productions (PC), FUN Labs (Xbox 360)|Activision Value|||December|Hunting|Single-player or multiplayer|
2310|Sand Grain Studios (PS2), Magic Wand Productions (PC), FUN Labs (Xbox 360)|Activision|Proprietary||September|Sports|Single-player|
2311|Sand Grain Studios, FUN Labs|Activision|||March|Sports|Single player|Dangerous Hunts
2312|Tilted Mill Entertainment|Vivendi Universal Games[a]|||September|City-building|Single-player, Multiplayer|City Building Series
2313|Sandlot Games|Sandlot Games|PopCap Games Framework||September|Strategy|Single-player|
2314||Netamin Communication Corporation|Virtual Reality Environment Engine  EMotion FX (Q3 2008)||Abandoned|Baseball MMOSG|Multiplayer|
2315|Treyarch|Activision|Treyarch NGL||March|First-person shooter|Single-player, multiplayer|Call of Duty
2316|Techland Poland|EU: Focus Home Interactive (PC)[2]NA: Ubisoft (PC)[1]WW: Ubisoft (Xbox 360)[3]|Chrome Engine 3[4]||June|First-person shooter|Single-player, multiplayer|Call of Juarez
2317|Taito Corporation|Taito Corporation|||August|Traditional game||
2318|Rainbow Studios[a]Helixe (GBA, NDS)Locomotive Games (PSP)Incinerator Studios (Wii)|THQ|||June|Racing, adventure|Single-player, multiplayer|
2319|AWE GamesRainbow Studios|THQ|||June|Driving||
2320|Firebrand Games (NDS)  Eutechnyx (PS2)|The Game Factory|Octane Engine||February|Racing||
2321||Sony Online Entertainment|Untold Legends (Game Engine)||November|Multidirectional shooter|Single player, Multiplayer|
2322|Alfa System, SkonecBarnhouse Effect (Xbox 360)|"JP: Taito (Arcade)JP: Cyberfront Corporation (Win)
JP: Arc System Works (Xbox 360, Wii)NA: Aksys Games (Wii)"|||February|Scrolling shooter|Single player, multiplayer|
2323|Konami|Konami|||March|Platform-adventure[3]|Single-player, multiplayer|Castlevania
2324||||Windows 95 or newer||||
2325|Starfish SD|Starfish SDUFO Interactive Games505 GamesTommo|||January|Puzzle||
2326|Beautiful Game Studios, Gusto Games|Eidos Interactive|||March|Sports|Single player|
2327|Beautiful Game Studios|Eidos InteractiveVirtual Programming (Mac)|||WindowsEU: 2006-10-13AU: 2006-10-27PS2, PSP, Xbox 360EU: 2007-03-16AU: 2007-04-13Macintosh2007-05-16|Sports|Single player|
2328||JP: EasyGameStationWW: Carpe Fulgur|||July|Action RPG|Single-player|
2329|Marvelous Interactive|Marvelous Interactive|||December|Action|Single-player|
2330|Idea Factory|JP: Idea FactoryNA: O~3 Entertainment|||June|Tactical role-playing|Single-player|
2331|Backbone EntertainmentSega (PC)Atomic Planet Entertainment (PS2), The Code Monkeys (mobile)|SegaBlast! Entertainment Ltd. (PS2)|||February|Adventure|Single-player|
2332|Gorilla Systems|Buena Vista Games|||September|RPG|Single-player, multi-player|
2333|Oberon Games|||||||
2334||||||||
2335|FromSoftware|JP: FromSoftwareWW: Sega|||June|Mech simulator|Single-player, multiplayer|
2336|Monte Cristo|CDVFocus Home InteractiveDeep Silver|||May|City building games|Single player|
2337|Firefly StudiosFiraxis Games|2K Games|||July|City-building|Single-player|Civilization
2338|Firaxis Games|2K Games (Win)Aspyr (Mac)|Gamebryo||July|Turn-based strategy|Single player, multiplayer|Civilization
2339|Data Design Interactive|Bold Games|GODS||January|Racing|Single-player, multiplayer|
2340|Red Redemption Ltd|BBC|||2006|Global warming game|Single player|
2341|NinjaBee|Microsoft|||March|Side-scroller, Platformer|Single player, Multiplayer|
2342|Neko Entertainment|Conspiracy EntertainmentBigBen Interactive|||March|Shoot 'em up|Single-player, multiplayer|
2343|Visual Concepts|2K Sports|||March|Sports|Single playerMultiplayer (up to 4 players)Online multiplayer (up to 8 players on 2 consoles)|
2344|EA Los Angeles, Barking Lizards Technologies, Base Camp Films, Gametap Entertainment, Westwood Studios|Electronic Arts|||February|Real-time strategy, first-person shooter|Single player, Multiplayer|Command & Conquer 
2345||Matrix Games|||2006|Turn-based strategy||
2346|Pyro Studios|Eidos Interactive|RenderWare||March|First-person shooter|Single-player, multiplayer|Commandos
2347|Relic Entertainment|THQ|Essence Engine||September|Real-time strategy|Single-player, multiplayer|
2348|Grasshopper Manufacture|JP: Marvelous EntertainmentNA: Atlus USAPAL: Rising Star Games|||January|Role-playing|Single-player, multiplayer|
2349||Hamster|||March|Simulation|Single-player|
2350|Office Create|JP: TaitoNA: Majesco EntertainmentPAL: 505 Games|||February|Simulation, minigame|Single-player|Cooking Mama
2351||Valcon Games  Black Bean Games [1]|RenderWare||May|Racing|Single-player  multiplayer (up to 4 players)|
2352|Dimps|Vivendi Universal Games[a]|||July|Party|Single-player, multiplayer|Crash Bandicoot
2353|Replay Studios, Moonbyte Games|Atari|||February|Racing|Single-player, multiplayer|
2354|Banpresto|JP: Banpresto|||December|Action game |Multi-player|
2355|Neko Entertainment|Valcon Games|||NA: 2007-09-04EU: 2006-12-01|Racing|Single-player, multiplayer|
2356|HB Studios|EA Sports|||November|Sports, Cricket|Single playerMultiplayer|
2357|Telltale Games|Ubisoft|Telltale Tool||March|Adventure|Single-player|
2358|OmiyaSoft, Jamsworks|Namco Bandai Games|||February|Board game, Collectible card game|Single-player, multiplayer|
2359|Monkey Bar GamesTorus Games|Namco|Vicious Engine||February|Platform|Single-player[1]|
2360|Noise|Nintendo|||March|Action role-playing|Single player, multiplayer|Custom Robo
2361|||||2006|action-adventure||
2362|Circus|||Windows, PlayStation 2, PlayStation Portable||Eroge, Visual novel||
2363|The Collective|2K Games|||May|Adventure, puzzle|Single-player|
2364||||||||
2365||||||||
2366|Konami|Konami|||January|Music, exercise|Single-player, multiplayer|Dance Dance Revolution
2367|Broadsword Interactive|Codemasters|||August|Music||
2368|Altron|THQ|||March|Side-scroller|Single-playerMultiplayer|
2369||||||||
2370||Farlan Entertainment|||June|MMORPG|Online|
2371|Arkane Studios|Ubisoft|Source||February|Action role-playing game|Single-player, multiplayer|Might and Magic
2372|||Flash||December|MMO Space-action||
2373|Ascaron Entertainment ltd.|CDV Software, Kalypso Media|||June|Space trading and combat simulator|Single player|
2374|Left Field Productions|NA: Crave EntertainmentEU: Oxygen Interactive (PSP)EU: 505 Games (Wii)|||June|Sports|Single-player|
2375|Square Enix|Square Enix|||May|Action-adventure|Single-player|Mana
2376|Ready at Dawn|Sony Computer Entertainment|||March|Platform|Single-player, multiplayer|Jak and Daxter
2377|Team Ninja|Tecmo|||November|Sports, casino|Single-player, multiplayer|Dead or Alive
2378|Capcom Production Studio 1|Capcom|MT Framework||August|Survival horror, beat 'em up|Single-player|Dead Rising
2379|Gravity-i (NDS/GBA)Imagination Entertainment (DVD)Cat Daddy Games (PC)Black Lantern Studios (Wii)Vimukti Technologies Pvt Ltd (BlackBerry)|Mindscape (EU, PC/NDS)DSI Games (NA, NDS/GBA)Imagination Entertainment (DVD)Global Star Software (NA, PC)Zoo Games (Wii)Vimukti Technologies Pvt Ltd (BlackBerry)|||January|Trivia||
2380|Backbone Entertainment|Konami  Eidos (Wii)|||April|Action adventure|Single-player, multiplayer|
2381|AKI CorporationEA Canada|Electronic Arts|||August|Fighting|Single-player, multiplayer|
2382|Introversion Software|NA: Encore SoftwareEU: Pinnacle Entertainment Group|||March|Real-time strategy|Multiplayer|
2383|Nitroplus|||Windows||Action, Visual novel||
2384|Tose|Nintendo|||April|Platform game|Single-player, video game|
2385||||||||
2386|Spellbound Entertainment|Atari|Vision||April|Real-time tactics|Single-player video game|Desperados
2387||Buena Vista Games|||October|Life simulation, social simulation|Single-player|
2388|Kheops Studio|Nobilis|||July|Adventure|Single player|
2389|Pandemic Studios|THQ|||October|Action-adventure|Single-player, multiplayer|Destroy All Humans!
2390|Atlus|JP: AtlusNA: AtlusEU: KoeiAU: THQ|||March|Action role-playing|Single-player|Megami Tensei
2391|BEC|Bandai Namco Games|||September|Action-adventure, role-playing video game|Single player|Digimon
2392|BEC|Bandai Namco Games|||June|Role-playing video game|Single Player  Nintendo Wi-Fi Connection|Digimon
2393||PlayFirst|Playground SDK||January|Strategy, simulation[2]|Single-player|Diner Dash
2394|||Source engine||April|First-person shooter|Multiplayersingle-player |
2395|Square EnixMonolith Soft|Square Enix|||January|Action role-playing, third-person shooter|Single-player|Compilation of Final Fantasy VIIFinal Fantasy
2396|Nippon Ichi Software|JP: Nippon Ichi SoftwareNA: NIS AmericaPAL: KoeiEU: NIS Europe (PSP)AU: NIS America (PSP)NA: SCEA (PSN)|||January|Tactical role-playing game |Single-player|Disgaea
2397|Avalanche Software|Buena Vista Games|||April|Action-adventure|Single player|
2398|Pentavision|Pentavision|||January|Music video game|Single-player|DJ Max
2399|Yuke's|Yuke's|||April|Life simulation|Single-player|
2400|Illwinter Game Design|2006 - 2012 Shrapnel Games 2013 - future Desura, Steam, GamersGate|||September|Turn-based strategy|Single-player, Multiplayer|Dominions 
2401||||||||
2402|Legendo EntertainmentNERLASKA|Legendo Entertainment|||October|Platform|Single-player|
2403|Think Garage[1]|Square Enix|||May|Party game, board game|Single-player, multiplayer|Fortune Street
2404|TOSE[1]|Square Enix|||March|Role-playing|Single-player, multiplayer|Dragon Quest Monsters
2405|Cavia|Square Enix|||April|Action role-playing|Single-player|Mystery DungeonDragon Quest
2406|Artix Entertainment|Artix Entertainment|Adobe Flash||June|Role-playing game|Single-player|
2407|Bimboosoft Co. Ltd||||2006|Sports Game|Single-player, multiplayer|
2408|TopWare|SouthPeak Games|||February|Pinball|Players: 1-4|
2409|Funcom|NA: AspyrEU: Empire Interactive|Shark 3D||April|Adventure|Single-player|
2410|Reflections Interactive|Atari, Inc. (PS2 and Xbox)  Ubisoft (PC & Wii)|||March|Racing, third-person shooter, action-adventure|Single-player|Driver
2411|||||March|Card game simulation|Traditional, advanced, and unlimited|
2412|Global A Entertainment|JP: TaitoNA: Xseed Games|||June|Role-playing|Single-player, multiplayer|
2413|Gas Powered Games|2K Games|||August|Action role-playing|Single-player, multiplayer|Dungeon Siege
2414|SuperVillain Studios|2K Games|Custom-DS2||February|Role-playing|Single-player, multiplayer|Dungeon Siege series 
2415|"
Turbine (former)
Standing Stone Games (current)
"|"
Atari (former)
Codemasters (former)
Warner Bros. Interactive Entertainment (former)
Daybreak Game Company (current)
"|||February|Massively multiplayer online role-playing game|Multiplayer|
