|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
61|Hudson Soft, Eighting|Konami|||May|Fighting|Single-player, multiplayer|Bloody Roar
62|Terminal Reality|Majesco Entertainment|Infernal Engine||October|Run and gun|Single-player|
63|ImaginEngine|Infogrames|||July|Edutainment||
64|Konami Computer Entertainment Japan|Konami|||May|Action role-playing|Single-player, multiplayer|Boktai 
65|Hudson Soft|||Game Boy Advance||Minigame Compilation||
66|Racjin|Hudson Soft|||July|Party|Single-player, multiplayer|Bomberman
67||PopCap Games|PopCap Games Framework||February|Puzzle|Single-player|Bookworm
68|G.rev|G.rev|||April|Shoot 'em up|Single-player|
69|E. Santos Inc.|||||||
70|Square Enix|Square Enix|||September|Brave ShotScrolling shooterBrave Shot 2Run and gun game|Single player|Brave Shot
71|Revolution Software|EU: THQNA: The Adventure Company|RenderWare||November|Adventure|Single-player|Broken Sword
72|Vicarious Visions|Universal Interactive|||March|Beat 'em up|Single-player|
73|Digital Anvil|Microsoft Game Studios|||May|Third-person shooterTactical shooter|Single-player, multiplayer|
74|Eurocom Entertainment Software|Vivendi Universal Games[a]|||August|Action-adventure, survival horror, beat 'em up|Single-player, multiplayer|
75|Natsume|THQ|||June|PlatformBeat 'em up|Single player|
76|Taito, Red Entertainment|JP: TaitoNA: BAM! EntertainmentEU: 505 Gamestreet|||February|Beat 'em up, hack and slash|Single-player|
77|Hide, Medix|Medix|||June|||
78|Fun Labs|Activision Value|||February|Racing||
79|Sand Grain Studios|Activision Value|||August|Sports||
80|FUN Labs (PC, Xbox)Sand Grain Studios (PS2)|Activision ValueEU: Zoo Digital Publishing|RenderWare||February|Hunting, action, simulation||
81|Sand Grain Studios (PS2), FUN Labs (Xbox)|Activision|||August|Sports||
82|nFusion Interactive|Activision Publishing, Inc.|||August|Sports||
83|Patissier|Digital Works (Windows)  Princess Soft (DC, PS2)|||February|Eroge, Visual novel|Single-player|
84|Infinity Ward|WW: ActivisionNA: Aspyr (Mac)|id Tech 3[1]||May|First-person shooter|Single-player, multiplayer|Call of Duty
85|Vectorcom Development|JoWooD Productions|||January|Business simulation game|1 Player|
86|DC Studios|Majesco Sales|||November|Racing|Single-player|
87||Konami|||March|Business simulation game|Single player|
88|Alfa System|Kids Station, Taito, SourceNext, XS Games, Play It Games|||January|Scrolling shooter|Single-player, multiplayer|
89|Konami Computer Entertainment Tokyo|Konami|||May|Platform-adventure, metroidvania, action role-playing|Single-player|Castlevania
90|Konami|Konami|||February|Action-adventure, hack and slash|Single-player|Castlevania
91|Magenta Software (PS2, Xbox)Digital Eclipse (Microsoft Windows, Game Boy Advance)|Vivendi Universal Games[a]|||March|"Platform
Action"||
92|Big Ape ProductionsCoresoft (PS)|Gotham GamesMTV Interactive|||October|Fighting, professional wrestling|Single-player, multiplayer|
93|Sports Interactive|Eidos Interactive|||March|Sports|Single player, multiplayer|
94|Sports Interactive|Eidos Interactive|||November|Sports|Single player, multiplayer|
95|Capcom Production Studio 6|Capcom|||March|Action-adventure, hack and slash|Single-player|
96|Slitherine SoftwareParadox Interactive|Strategy First|||June|Turn-based strategy, real-time tactics|Single player|
97|Neko Entertainment|Ubisoft|||July|Beat 'em up|Single-player|Charlie's Angels 
98|Cauldron|JoWooD Productions|CloakNT||August|First-person shooter|Single-player, multiplayer|
99|Spellbound Entertainment|Wanadoo Edition (Europe)MC2-Microids (North America)|||November|Role-playing||
100|Softstar Technology (Shanghai) Co., Ltd.|Softstar Entertainment Inc.Unistar|||July|Role-playing|Single player|The Legend of Sword and Fairy series
101||||||||
102|Barnhouse Effect|JP: TakaraNA: AtlusEU: Zoo Digital Publishing|||March|Racing, Role-playing||Choro Q series
103|Techland|Strategy First|Chrome Engine||September|First-person shooter|Single-player, Multiplayer|
104|Neverland|NA: NatsumeJP: Marvelous Entertainment|||October|Role-playing video game|Single-player|
105|BreakAway GamesFiraxis Games|Atari|||November|Turn-based strategy|Single player, multiplayer|Civilization
106|ALcotHuneX (PS2)Moepuri (mobile)Dennō Club (DVD game)|ALcot (PC)Interchannel (PS2)|||August|Eroge, Visual novel|Single player|
107||||||||
108|Codemasters|Codemasters|||March|Racing|Single-player, multiplayer|Colin McRae Rally
109|Battlefront.com|CDV Software|||November|Turn-based tactics, Wargame|Single-player, multiplayer|Combat Mission
110|EA Pacific|EA Games (Windows)Aspyr Media (Mac OS X)|SAGE||February|Military real-time strategy|Single-player, multiplayer|Command & Conquer
111|EA Los Angeles|EA Games (Windows)Aspyr Media (Mac OS X)|SAGE||February|Real-time strategy|Single-player, multiplayer|Command & Conquer
112|Pyro Studios Zonic Limited (OS X)|Eidos InteractiveFeral Interactive (OS X)|||May|Real-time tactics|Single-player video game, multiplayer|Commandos
113|Pivotal Games|SCi Games (Europe) Gotham Games (North America)|||January|Tactical shooter|Single-player, multiplayer|Conflict
114|Anima Interactive|NA: Got Game EntertainmentEU: GMX Media|||July|Adventure, Interactive movie|Single player|
115||ValuSoft|Proprietary/CustomPhysics: Havok||2003|Construction game||
116|Monolith Productions|Sierra Entertainment|Lithtech Jupiter||November|First-person shooter|Single-player, multiplayer|
117|Steel MonkeysGBAVisual Impact|TDK MediactivePS2Global Star Software|||March|Racing game||
118|Vicarious Visions|Universal Interactive|||January|Platformer|Single-player, multiplayer|Crash Bandicoot
119|Vicarious Visions|Universal Interactive|Havok ||June|Racing|Single-player, multiplayer|Crash Bandicoot
120|Graphic State|NA: THQPAL: Sega|Rush[1]||April|Racing, action|Single-player|
121|FASA Studio|Microsoft Game Studios|||October|Action, Arcade flight|Single-player, multiplayer|Crimson Skies
122||Reflexive Entertainment|||2003|Shoot 'em up|Single-player, co-op|
123|Flying Shine|JP: Flying Shine (Win)JP: KID (PS2)JP: Cyberfront (PSP, Xbox 360)JP: 5pb. (PS3, PSV)WW: MoeNovel (Win)|||February|Visual novel|Single-player|
124|Bergsala Lightweight  Genki|NA: UbisoftJP: ESP|||January|Beat 'em up|Single-player|
125|369 Interactive (Win, Xbox)EPCConnect (Mac)|Ubi Soft (Win, Xbox)Aspyr (Mac)|||February|Adventure|Single-player|
126|Light and Shadow Productions|Hip Interactive|||June|Run and gun|Single-player, Multiplayer|
127||Groove Games|Lithtech Talon||March|First-person shooter|Single-player|
128|Asylum Entertainment|NA: DreamCatcher InteractiveEU: Wanadoo Edition|RenderWare||February|Survival horror|Single player|
129|Hitmaker|Sega|||March|Action-adventure|Single player,  Multi-player|Virtual On
130||The Learning Company|||2003|Edutainment||Cyberchase
131||The Learning Company|||2003|Edutainment||Cyberchase
132|Acclaim Studios Cheltenham|Acclaim Entertainment|||March|Racing|Single-player, multiplayer|
133|Konami, Bemani|Konami|||May|Music, exercise|Single-player, multiplayer|Dance Dance Revolution
134|Griptonite Games|Encore SoftwareTHQ|||February|Action|Single-player|
135|Valve L.L.C.|ActivisionValve Corporation (digital)|GoldSrc||March|First-person shooter|Multiplayer|
136|Team Ninja|Tecmo|||January|Sports|Single-player, multiplayer|Dead or Alive
137|Konami|||PlayStation 2||Sports||
138||Leaf|||September|Eroge, Visual novel|Single-player|
139||Matrix Games|||2003|Turn-based strategy|Single player|
140|AKI CorporationEA Canada|EA Sports BIG  EA Games (Japan)|||April|Sports, fighting|Single-player, multiplayer|Def Jam
141|||||2003|Multiplayer online battle arena|Multiplayer|Dota
142|NovaLogicClimax Group (Xbox Version)Rebellion Developments (PS2 Version)Aspyr (Mac OS X Version)|NovaLogicAspyr (Mac OS X Version)|Black Hawk Engine (PC Version)Asura (PlayStation 2 Version)||March|First-person shooter|Single-player, multiplayer|Delta Force
143|Nitroplus|||Windows||Action, Visual novel||
144|ToseNintendo SPD|Nintendo|||September|Platform|Single-player|The Legendary Starfy
145|Ion Storm|Eidos Interactive|Unreal Engine||March|Action role-playing, first-person shooter, stealth|Single-player|Deus Ex
146|Digitalo StudiosARUSH Entertainment|ARUSH EntertainmentGroove Games|Unreal Engine 2||March|First-person shooter|Single player, multiplayer|
147|Capcom|Capcom|||January|Action-adventure, hack and slash|Single-player|Devil May Cry
148|Capcom Production Studio 4|Capcom|||June|Action-adventure|Single-player|Dino Crisis
149|Vicious Cycle Software|TDK Mediactive|||April|Action-adventure|Single-player, multiplayer|
150|Nippon Ichi Software|JP: Nippon Ichi SoftwareNA: Atlus (PS2)PAL: Koei (PS2)AU: Square Enix (NDS)WW: NIS America|||January|Tactical role-playing|Single-player, multiplayer|Disgaea
151||Disney Interactive|||September||Single player|
152|KnowWonder Digital Mediaworks (PC)Vicarious Visions (GBA)|Disney Interactive|Unreal Engine 1||November|Action||
153|Toys for Bob[a]|Activision|||September|Sports|Single-player, multiplayer|
154|Capcom|Capcom|||March|Action-adventure game|Single-player|
155|Frontier Developments|EU: SCEENA: Hip Games|||September|Action-adventure|Single-player|
156|Asmik Ace Entertainment|Asmik Ace Entertainment|||April|Action game|Single-player, multiplayer|
157||||||||
158|Illwinter Game Design|Shrapnel Games|||November|Turn-based strategy, Fantasy|Single player, Multiplayer|Dominions 
159|Namco|Nintendo|||March|Music game|Single-player, multiplayer|Donkey Kong
160|Million|Atlus|||March|Beat 'em up|Single player, Two player Cooperative|Double Dragon
161|Incognito Entertainment|WW: Sony Computer EntertainmentUK: Codemasters|||February|Sports, racing|Single-player, multiplayer|
162|Ubisoft RomaniaCom2uS (Mobile)|Ubi SoftCom2uS (Mobile)|||March|Racing game|Single-player, Multiplayer (2 players)|
163|Handheld Games|NewKidCo|||2003||Single-player|
164|XMG Studio, Phantom Games|XMG Studio, Phantom Games|||2003, 2009, 2010, 2012|Gaming, Family & Arcade, Racing|Single Player, Multiplayer|
165|Webfoot Technologies|Atari|||November|Fighting|Single-player, Multplayer-player|
166|Treasure Co.|Bandai|||March|Third-person shooter|Single-player, multiplayer|
167|TOSE|Enix|||March|Role-playing|Single-player|Dragon Quest Monsters
168|Idol FX|Majesco Entertainment|FX Engine||March|Third-person shooter|Single-player|
169|CaviaMacrospace (Mobile)[1]|Square EnixPAL: Gathering of Developers|||March|Action role-playing, hack and slash|Single-player|Drakengard
